"export-plot data (NetLogo 6.1.1)"
"6 - Data Generating Model.nlogo"
"11/16/2021 11:17:19:775 -0800"

"MODEL SETTINGS"
"correlation","mutation_rate","learning_dynamics"
"1","0","""proportional reservation"""

"""plot 2"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","46.3","0","132","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","40"

"""default"""
"x","y","color","pen down?"
"0","0","0","true"
"1","17","0","true"
"2","17","0","true"
"3","29","0","true"
"4","33","0","true"
"5","34","0","true"
"6","28","0","true"
"7","33","0","true"
"8","41","0","true"
"9","54","0","true"
"10","82","0","true"
"11","93","0","true"
"12","108","0","true"
"13","116","0","true"
"14","119","0","true"
"15","119","0","true"
"16","118","0","true"
"17","120","0","true"
"18","121","0","true"
"19","121","0","true"
"20","121","0","true"
"21","121","0","true"
"22","121","0","true"
"23","121","0","true"
"24","121","0","true"
"25","121","0","true"
"26","121","0","true"
"27","121","0","true"
"28","121","0","true"
"29","121","0","true"
"30","121","0","true"
"31","121","0","true"
"32","121","0","true"
"33","121","0","true"
"34","121","0","true"
"35","121","0","true"
"36","121","0","true"
"37","121","0","true"
"38","121","0","true"
"39","121","0","true"
"40","121","0","true"
